LAS,WN,72.00,59.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,23.00,,0.00
LAS,WN,19.00,,0.00
LAS,WN,6.00,6.00,0.00
LAS,WN,3.00,,0.00
LAS,WN,2.00,,0.00
LAS,WN,9.00,,0.00
LAS,WN,26.00,0.00,0.00
LAS,WN,19.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,8.00,,0.00
LAS,WN,34.00,4.00,0.00
LAS,WN,90.00,13.00,0.00
LAS,WN,87.00,60.00,0.00
LAS,WN,44.00,4.00,0.00
LAS,WN,18.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,38.00,3.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,,,1.00
LAS,WN,9.00,,0.00
LAS,WN,124.00,21.00,0.00
LAS,WN,46.00,2.00,0.00
LAS,WN,43.00,14.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,51.00,11.00,0.00
LAS,WN,70.00,45.00,0.00
LAS,WN,13.00,,0.00
LAS,WN,10.00,,0.00
LAS,WN,1.00,,0.00
LAS,WN,15.00,15.00,0.00
LAS,WN,2.00,,0.00
LAS,WN,7.00,,0.00
LAS,WN,80.00,38.00,0.00
LAS,WN,89.00,32.00,0.00
LAS,WN,3.00,,0.00
LAS,WN,3.00,0.00,0.00
LAS,WN,30.00,3.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,3.00,,0.00
LAS,WN,32.00,27.00,0.00
LAS,WN,58.00,0.00,0.00
LAS,WN,16.00,,0.00
LAS,WN,15.00,0.00,0.00
LAS,WN,38.00,0.00,0.00
LAS,WN,28.00,4.00,0.00
LAS,WN,62.00,13.00,0.00
LAS,WN,21.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,33.00,24.00,0.00
LAS,WN,54.00,12.00,0.00
LAS,WN,42.00,18.00,0.00
LAS,WN,20.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,7.00,0.00,0.00
LAS,WN,7.00,,0.00
LAS,WN,7.00,,0.00
LAS,WN,27.00,2.00,0.00
LAS,WN,87.00,6.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,24.00,9.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,46.00,2.00,0.00
LAS,WN,60.00,2.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,31.00,16.00,0.00
LAS,WN,75.00,48.00,0.00
LAS,WN,27.00,2.00,0.00
LAS,WN,11.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,40.00,10.00,0.00
LAS,WN,12.00,,0.00
LAS,WN,30.00,6.00,0.00
LAS,WN,16.00,,0.00
LAS,WN,59.00,27.00,0.00
LAS,WN,46.00,11.00,0.00
LAS,WN,33.00,9.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,11.00,0.00,0.00
LAS,WN,29.00,26.00,0.00
LAS,WN,33.00,8.00,0.00
LAS,WN,15.00,6.00,0.00
LAS,WN,57.00,0.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,40.00,0.00,0.00
LAS,WN,18.00,8.00,0.00
LAS,WN,25.00,9.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,18.00,8.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,50.00,21.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,18.00,4.00,0.00
LAS,WN,6.00,,0.00
LAS,WN,10.00,,0.00
LAS,WN,59.00,5.00,0.00
LAS,WN,42.00,17.00,0.00
LAS,WN,38.00,9.00,0.00
LAS,WN,58.00,0.00,0.00
LAS,WN,53.00,12.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,8.00,,0.00
LAS,WN,11.00,,0.00
LAS,WN,47.00,23.00,0.00
LAS,WN,9.00,,0.00
LAS,WN,3.00,,0.00
LAS,WN,21.00,18.00,0.00
LAS,WN,19.00,,0.00
LAS,WN,12.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,27.00,,0.00
LAS,WN,31.00,0.00,0.00
LAS,WN,59.00,0.00,0.00
LAS,WN,201.00,192.00,0.00
LAS,WN,80.00,0.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,116.00,0.00,0.00
LAS,WN,183.00,0.00,0.00
LAS,WN,32.00,4.00,0.00
LAS,WN,5.00,0.00,0.00
LAS,WN,32.00,2.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,34.00,34.00,0.00
LAS,WN,45.00,10.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,1.00,,0.00
LAS,WN,39.00,9.00,0.00
LAS,WN,39.00,39.00,0.00
LAS,WN,119.00,25.00,0.00
LAS,WN,49.00,3.00,0.00
LAS,WN,23.00,4.00,0.00
LAS,WN,77.00,0.00,0.00
LAS,WN,24.00,,0.00
LAS,WN,62.00,0.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,39.00,25.00,0.00
LAS,WN,19.00,19.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,51.00,9.00,0.00
LAS,WN,11.00,,0.00
LAS,WN,19.00,,0.00
LAS,WN,12.00,,0.00
LAS,WN,15.00,,0.00
LAS,WN,0.00,0.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,57.00,16.00,0.00
LAS,WN,75.00,9.00,0.00
LAS,WN,5.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,53.00,2.00,0.00
LAS,WN,28.00,,0.00
LAS,WN,45.00,22.00,0.00
LAS,WN,55.00,29.00,0.00
LAS,WN,68.00,0.00,0.00
LAS,WN,56.00,5.00,0.00
LAS,WN,56.00,24.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,21.00,8.00,0.00
LAS,WN,38.00,8.00,0.00
LAS,WN,28.00,0.00,0.00
